//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: el
//: ISO 3166-1 code:
//: Language: Greek, Modern
//: Translator(s) - Name <Contact Info/URL>: Michalis (Μιχάλης) <michalisnet(at)yahoo(dot)gr>
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d αρχείο(α) μετονομάστηκαν, %d αρχείο(α) αντιγράφηκαν, %d φάκελος(οι) δημιουργήθηκαν
%s camera raw images (embedded JPEGs only)	%s ακατέργαστες εικόνες CAMERA RAW (μόνο ενσωματωμένα JPEG)
%s images	%s εικόνες
%s images (processed by Window Imaging Component - WIC)	%s εικόνες (επεξεργασία από το Window Imaging Component - WIC)
'My Pictures' folder	Φάκελος 'Οι εικόνες μου'
These values will override the values from the INI file located in the program folder of JPEGView!	Αυτές οι τιμές θα αντικαταστήσουν τις τιμές στο αρχείο INI που βρίσκεται στο φάκελο του JPEGView!
Threshold	Κατώφλι
Title:	Τίτλος:
Toggle between screens (only for multi-monitor systems)	Εναλλαγή οθονών (μόνο για συστήματα με πολλές οθόνες)
Toggle window always on top mode	Εναλλαγή του παραθύρου πάντα στην κορυφή
Toggle window title bar hidden mode	Εναλλαγή λειτουργίας κρυφής γραμμής τίτλου
Top	Πάνω
Transition Effect	Εφέ μετάβασης
Unregistering not possible	Η αποκαταχώρηση δεν είναι δυνατή.
Unsharp mask...	Μάσκα μείωσης όξυνσης...
Update user settings with new settings from settings template file?	Ενημέρωση ρυθμίσεων χρήστη με νέες ρυθμίσεις από πρότυπο αρχείο ρυθμίσεων;
Use the 'Default Programs' configuration dialog from the operating system instead.	Χρησιμοποιήστε αντ' αυτού τον διάλογο διαμόρφωσης 'Προεπιλεγμένα προγράμματα' από το λειτουργικό σύστημα.
Use the mouse to draw a line that shall be horizontal or vertical.	Χρησιμοποιήστε το ποντίκι για να σχεδιάσετε μια γραμμή που θα είναι οριζόντια ή κατακόρυφη.
Warning	Προειδοποίηση
Width	Πλάτος
Window mode	Προβολη σε παράθυρο
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	Τα Windows 8 (και άνω) εμποδίζουν το JPEGView να αλλάξει το προεπιλεγμένο πρόγραμμα για αυτές τις επεκτάσεις αρχείων.
Writing the resulting JPEG file to disk failed	Η εγγραφή του αρχείου JPEG στο δίσκο απέτυχε
Y - B	Y - B
Year short form (2 digits)	Έτος / Σύντομη μορφή (2 ψηφία)
Yellow-Blue	Κίτρινο-Μπλε
Zoom 1:1 (100 %)	Μεγέθυνση 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	Μεγέθυνση (%s)/Σμίκρυνση (%s)
Zoom in/out image	Μεγέθυνση/σμίκρυνση εικόνας
Zoom mode (drag mouse to zoom)	Λειτουργία ζουμ (σύρετε το ποντίκι για ζουμ)
and image processing (brightness/contrast/sharpen) parameters between images	και παραμέτρων επεξεργασίας (φωτεινότητα/αντίθεση/σκληρότητα) μεταξύ εικόνων
cm	εκ
in	ίντσες
new menu entry	νέα καταχώρηση μενού
no	όχι
off	ανενεργό
on	ενεργό
user-defined	οριζόμενο από τον χρήστη
yes	ναι

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Διακοπή παρουσίασης/ταινίας
Open image...	Άνοιγμα εικόνας...
Open image with	Άνοιγμα εικόνας με...
Save processed image...	Αποθήκευση επεξεργασμένης εικόνας...
Reload image	Επαναφόρτωση εικόνας
Open containing folder in Explorer	Ανοίξτε τον φάκελο στην Εξερεύνηση των Windows
Print image...	Εκτύπωση εικόνας...
Batch rename/copy...	Μαζική μετονομασία/αντιγραφή...
Set modification date	Ορισμός ημερομηνίας τροποποίησης
to current date	στην τρέχουσα ημερομηνία
to EXIF date	στην ημερομηνία από το EXIF
to EXIF date (all files in folder)	στην ημερομηνία από το EXIF (όλα τα αρχεία στο φάκελο)
Set as desktop wallpaper	Ορισμός ως φόντου επιφάνειας εργασίας
Use original image	Χρήση αρχικής εικόνας
Use processed image as displayed	Χρήση της εικόνας όπως εμφανίζεται
Copy to clipboard	Αντιγραφή στο πρόχειρο
Copy original size image	Αντιγραφή εικόνας αρχικού μεγέθους
Copy file path	Αντιγραφή της διαδρομής του αρχείου
Display order	Σειρά εμφάνισης
Modification date	Ημερομηνία τροποποίησης
Creation date	Ημερομηνία δημιουργίας
Play folder as slideshow/movie	Αναπαραγωγή φακέλου ως παρουσίαση/ταινία
Waiting time	Χρόνος αναμονής
1 sec	1 δευτ
2 sec	2 δευτ
3 sec	3 δευτ
4 sec	4 δευτ
5 sec	5 δευτ
7 sec	7 δευτ
10 sec	10 δευτ
20 sec	20 δευτ
Transition Speed	Ταχύτητα μετάβασης
Very fast	Πολύ γρήγορα
Fast	Γρήγορα
Normal	Κανονικά
Slow	Αργά
Very slow	Πολύ αργά
Movie	Ταινία
Playback speed	Ταχύτητα αναπαραγωγής
5 fps	5 fps
10 fps	10 fps
25 fps	25 fps
30 fps	30 fps
50 fps	50 fps
100 fps	100 fps
Transform image	Μετασχηματισμός εικόνας
Rotate +90	Περιστροφή +90
Rotate -90	Περιστροφή -90
Rotate...	Περιστροφή...
Change size...	Αλλαγή μεγέθους...
Perspective correction...	Διόρθωση προοπτικής...
Mirror horizontally	Οριζόντιος κατοπτρισμός
Mirror vertically	Κάθέτος κατοπτρισμός
Rotate 180	Περιστροφή 180
Auto correction	Αυτόματη διόρθωση
Save parameters to DB	Αποθήκευση παραμέτρων στη ΒΔ
Clear parameters from DB	Διαγραφή παραμέτρων από τη ΒΔ
Zoom	Ζουμ
Span all screens	Κάλυψη όλων των οθονών
Fit window to image	Ταίριασμα παραθύρου στην εικόνα
Hide window title bar	Απόκρυψη γραμμής τίτλου παραθύρου
Set window always on top	Ορισμός παραθύρου πάντα στην κορυφή
Settings/Admin	Ρυθμίσεις/Διαχειριστής
Edit global settings...	Επεξεργασία καθολικών ρυθμίσεων...
Edit user settings...	Επεξεργασία ρυθμίσεων χρήστη...
Update user settings...	Ενημέρωση ρυθμίσεων χρήστη...
Set current parameters as default values...	Ορισμός των τρέχοντων παραμέτρων ως προεπιλεγμένες τιμές...
Set as default viewer...	Ορισμός ως προεπιλεγμένου προγράμματος προβολής...
Backup parameter DB...	Αντίγραφο ασφαλείας ΒΔ παραμέτρων...
Restore parameter DB...	Επαναφορά αντιγράφου ΒΔ παραμέτρων...
User commands	Εντολές χρήστη
About JPEGView...	Περί του JPEGView...
Exit	Έξοδος
Crop Selection	Περικοπή επιλογής
Crop Selection Lossless...	Περικοπή επιλογής χωρίς απώλεια...
Copy Selection to Clipboard	Αντιγραφή επιλογής στο πρόχειρο
Crop Mode	Λειτουργία περικοπής
Free	Ελεύθερη
Fixed size...	Συγκεκριμένο μέγεθος...
Zoom to Selection	Ζουμ στην επιλογή

// ::: INFO: Out-of-date Translations [14] ::: (Not in use anymore, safe to delete) //
//However this will fail if the current user has no administration privileges.	Ωστόσο αυτό θα αποτύχει εάν ο παρών χρήστης δεν έχει Δικαιώματα Διαχειριστή.
//Insufficient rights to remove the restrictions. Continue?	Ανεπαρκή δικαιώματα για αφαίρεση περιορισμών. Να συνεχίσω;
//JPEGView can try to remove the restrictions automatically.	Το JPEGVIEW μπορεί να προσπαθήσει να αφαιρέσει τους περιορισμούς αυτόματα.
//No file or folder name was provided as command line parameter!	Δεν δόθηκε όνομα αρχείου ή φακέλου ως παράμετρος γραμμής εντολών!
//PgDn or Right	Πλήκτρο PgDn ή δεξί βέλος
//PgUp or Left	Πλήκτρο PgUp ή αριστερό βέλος
//Rename:	Μετονομασία:
//Rotate the following file lossless by 270 deg?\n%filename%	Να περιστραφεί το αρχείο χωρίς απώλεια 270 μοίρες; \n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	Να περιστραφεί το αρχείο χωρίς απώλεια 90 μοίρες; \n%filename%
//The file '%s' could not be %s.	Το αρχείο '%s' δεν μπόρεσε να %s.
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Για να χρησιμοποιήσετε το JPEGView, συσχετίστε τα αρχεία JPG, JPEG και BMP με το JPEGView.
//copied	αντιγραφεί
//renamed	μετονομαστεί
//up/down	επάνω/κάτω

// ::: INFO: Same Translations [10] ::: (Summary to assist translators: All strings which are known not to need translation [String == Translation]) - Auto-generated by script //
//! C - R
//! Lanczos/Bicubic
//! M - G
//! Y - B
//! 5 fps
//! 10 fps
//! 25 fps
//! 30 fps
//! 50 fps
//! 100 fps

// ::: STATUS: Last Checked/Updated by Script ::: 2023-03-21T22:32:33.121196+00:00 //
//! Translation Progress: 100%
//! * Total (Strings + Menu) = 427
//! * Done = 427
//! * Missing = 0 (0%)
